Iteration,w,b,Loss
1,2.1841750861,3.6340267550,1.7402065253
2,2.6057448922,4.3874374564,0.1961320304
3,2.7204982525,4.5635955046,0.1041667860
4,2.7603251130,4.5999769758,0.0977463885
5,2.7815003867,4.6027009868,0.0964387684
6,2.7976948885,4.5975015349,0.0955042352
7,2.8122431487,4.5906119871,0.0946582425
8,2.8259714519,4.5835353346,0.0938788745
9,2.8390969079,4.5766273676,0.0931600730
10,2.8516881839,4.5699659204,0.0924970835
11,2.8637773025,4.5635617325,0.0918855696
12,2.8753867876,4.5574095892,0.0913215345
13,2.8865362747,4.5515007147,0.0908012918
14,2.8972441370,4.5458257673,0.0903214416
15,2.9075279027,4.5403755532,0.0898788475
16,2.9174043774,4.5351411892,0.0894706171
17,2.9268896939,4.5301141306,0.0890940822
18,2.9359993446,4.5252861682,0.0887467820
19,2.9447482078,4.5206494169,0.0884264467
20,2.9531505726,4.5161963040,0.0881309827
21,2.9612201621,4.5119195565,0.0878584589
22,2.9689701557,4.5078121895,0.0876070942
23,2.9764132111,4.5038674945,0.0873752458
24,2.9835614846,4.5000790291,0.0871613985
25,2.9904266509,4.4964406057,0.0869641545
26,2.9970199226,4.4929462820,0.0867822249
27,3.0033520680,4.4895903508,0.0866144205
28,3.0094334290,4.4863673311,0.0864596447
29,3.0152739379,4.4832719590,0.0863168858
30,3.0208831336,4.4802991791,0.0861852110
31,3.0262701773,4.4774441360,0.0860637596
32,3.0314438674,4.4747021667,0.0859517378
33,3.0364126536,4.4720687931,0.0858484136
34,3.0411846513,4.4695397141,0.0857531116
35,3.0457676541,4.4671107992,0.0856652090
36,3.0501691473,4.4647780814,0.0855841313
37,3.0543963194,4.4625377508,0.0855093485
38,3.0584560746,4.4603861485,0.0854403720
39,3.0623550433,4.4583197602,0.0853767509
40,3.0660995935,4.4563352112,0.0853180695
41,3.0696958409,4.4544292602,0.0852639441
42,3.0731496591,4.4525987943,0.0852140211
43,3.0764666889,4.4508408240,0.0851679742
44,3.0796523479,4.4491524780,0.0851255025
45,3.0827118389,4.4475309989,0.0850863283
46,3.0856501589,4.4459737384,0.0850501957
47,3.0884721069,4.4444781531,0.0850168684
48,3.0911822917,4.4430418005,0.0849861287
49,3.0937851397,4.4416623346,0.0849577757
50,3.0962849021,4.4403375023,0.0849316241
